LocId,LocName,Lon,Lat,OnStreet,City,ZipCode
43736,Hår W-Klipp Dame- og Herrefrisør,10221543,61226961,VESTRINGSVEGEN,"ØSTRE GAUSDAL, Gausdal",2651
43737,Sam Folkets Hus Brumunddal,10938265,60886853,SJURSTUVEGEN,"BRUMUNDDAL, Ringsaker",2380
43738,Akt Stiftelselsen Blaarud,11161138,60781469,PETER SKREDDERS VEG,"OTTESTAD, Stange",2312
43739,Hlp Tretten Bru,10302176,61312178,KONGSVEGEN,"TRETTEN, Øyer",2635
43740,Hår Vito Moelv,10703821,60926899,UTSIKTEN,"MOELV, Ringsaker",2390
43741,Bu Expert Lillehammer,10450096,61128895,GUDBRANDSDALSVEGEN,"LILLEHAMMER, Lillehammer",2619
43742,Akt Terningen Arena,11534830,60881675,HAMARVEGEN,"ELVERUM, Elverum",2411
43743,Fri Frivillighetssentralen Tynset,10778574,62277040,MEIERIGATA,"TYNSET, Tynset",2500
43744,Fri Frivillighetssentralen I Stor-Elvdal,11044411,61573075,STORGATA,"KOPPANG, Stor-Elvdal",2480
43745,Plo Grøndalsbakken Bofellesskap,11584441,60867596,DAGFINN GRØNOSETS VEG,"ELVERUM, Elverum",2407
43746,Sam Storsvea Grendehus Tørberget,12104014,61090623,0428/72/285/0,"TØRBERGET, Trysil",2429
43747,Akt Voksenopplæring Elverum,11567474,60881254,FRYDENLUNDVEGEN,"ELVERUM, Elverum",2406
43748,Bu Amfi Eurosenteret,11416285,60153530,NULL,VORMSUND,2160
43749,Fot Bentes Hud Og Fotklinikk Trysil,12265870,61312457,LØKJAVEGEN,"TRYSIL, Trysil",2420
43750,Krk Misjonshuset I Trysil,12265130,61314292,STORVEGEN,"TRYSIL, Trysil",2420
43751,Le Hamar Hudlegekontor,11069818,60795264,TORGGATA,"HAMAR, Hamar",2317
43752,Tl Våler Tannklinikk,11834583,60671431,VÅLGUTUA,"VÅLER I SOLØR, VÅLER",2436
43753,Akt Mulighuset Eidskog,12120731,59987042,DALÅSEN,"SKOTTERUD, Eidskog",2230
43754,Akt Aukrustsenteret,10621982,62113508,0438/7/667/0,"ALVDAL, Alvdal",2560
43755,Krk Magnor Kapell,12192975,59945184,MARKVEGEN,"MAGNOR, Eidskog",2240
43756,Fys Olai Myklebust Brumunddal,10952011,60885821,KIRKEVEGEN,"BRUMUNDDAL, Ringsaker",2380
43757,Norges Toppidrettsgymnas,12005425,60191290,MARKENSVEGEN,"KONGSVINGER, Kongsvinger",2212
43758,Fri Furutangen Skisenter,11799999,61368121,FURUTANGEN,"OSEN, Åmot",2460
43759,Tl Sigrun Akre Koppang,11048421,61571493,STORGATA,"KOPPANG, Stor-Elvdal",2480
43760,Stabburet Nora Brumunddal,10932179,60886840,RINGSAKERVEGEN,"BRUMUNDDAL, Ringsaker",2380
43761,Krk Sanderud Kapell,11160091,60780193,PETER SKREDDERS VEG,"OTTESTAD, Stange",2312
43762,Rus Barmsentret Hamar,11069697,60794757,STRANDGATA,"HAMAR, Hamar",2317
43763,Hår Sanne Frisørsalong,10218121,61221983,BAKLIVEGEN,"ØSTRE GAUSDAL, Gausdal",2651
43764,Fys Hamar Akupunktur,11073638,60793965,TORGGATA,"HAMAR, Hamar",2317
43765,MAT ELGSTUA,11540617,60883226,TRONDHEIMSVEGEN,"ELVERUM, Elverum",2406
43766,Hår Luggen frisør,10940815,60884647,NYGATA,"BRUMUNDDAL, Ringsaker",2380
43767,Fri Budor Gjestegård / Skitrekk,11292761,60950604,BUDOR,"LØTEN, Løten",2340
43768,Vet Veterinærvakta,10558214,62126605,0438/24/38/0,"ALVDAL, Alvdal",2560
43769,"SER Seven Eleven, Shell, Kløfta",11152279,60080860,Kongsvingervegen,Kløfta,2040
43770,Plo Myrvoldheimen omsorgssenter,12071311,60575064,0425/203/48/0,"ARNEBERG, Åsnes",2266
43771,SAM Kvarstad Forsamlingshu,10956998,60881552,Kvalslykja,NULL,2380
43772,OSLO Skullerudbakken 68,10835203,59863865,Skullerudbakken,Oslo,1189
43773,Tl Godtanna Tannlegeteam,11341441,60819998,STASJONSVEGEN,"LØTEN, Løten",2340
43774,Akt Fresesarmeen Brumunddal,10940021,60887554,LILLEVEGEN,"BRUMUNDDAL, Ringsaker",2380
43775,Bu Coop Ekstra Langeland,11977944,60200496,KRISTIAN WALBYS VEG,"KONGSVINGER, Kongsvinger",2212
43776,FYS Ruth Astrid Barflo,11066157,61517111,ØSTSIDA,"KOPPANG, Stor-Elvdal",2480
43777,Fri Folkets hus Moelv BA,10704023,60931698,PARKVEGEN,"MOELV, Ringsaker",2390
43778,FRI Frivillighetssentralen i Stor-Elvdal,11044411,61573075,STORGATA,"KOPPANG, Stor-Elvdal",2480
43779,BU Koppang Elektriske,11047450,61571564,STORGATA,"KOPPANG, Stor-Elvdal",2480
43780,Esso Sagstua,11541970,60395299,MAGASINVEGEN,"SAGSTUA, Nord-Odal",2120
43781,Furumoen Pensjonærheim,10787716,62273353,TVERVEIEN,"TYNSET, Tynset",2500
43782,HÅR Vikaelfrisørene AS,10773163,62278745,BRUGATA,"TYNSET, Tynset",2500
43783,Fot Solvår's fotklinikk,10385788,61278061,KONGSVEGEN,"ØYER, Øyer",2636
43784,Krk Vestre Gausdal kirke,10146423,61200504,NULL,"V.Gausdal, Gausdal",2653
43785,Kvinnemuseet Kongsvinger,12004500,60198071,LØKKEGATA,"KONGSVINGER, Kongsvinger",2213
43786,Sam Fremad,10761221,60897873,ÅSHØGDVEGEN,"RUDSHØGDA, Ringsaker",2360
43787,Statoil Brumunddal,10939142,60882717,NYGATA,"BRUMUNDDAL, Ringsaker",2380
43788,HÅR REIDUN PHILLIPS,9995827,62135409,0439/106/31/0,"FOLLDAL, Folldal",2580
43789,Mat Restaurant Bella Rosa,11564788,60885140,LUNDGAARDVEGEN,"ELVERUM, Elverum",2408
43790,Hår Frisør´n,10939453,60886943,SJURSTUVEGEN,"BRUMUNDDAL, Ringsaker",2380
43791,Bu Kiwi Stange Bruk,11195276,60720456,ROMEDALSVEGEN,"STANGE, Stange",2335
43792,Hår Salong Bjørg Olov.,10626600,62111173,0438/7/120/0,"ALVDAL, Alvdal",2560
43793,Shell Alvdal,10626600,62111173,0438/7/120/0,"ALVDAL, Alvdal",2560
43794,Hår Elins Salong,10633824,62108057,0438/9/156/0,"ALVDAL, Alvdal",2560
43795,Krk Adventkirken i Hamar,11054218,60800505,FREDRIK MONSENS GATE,"HAMAR, Hamar",2315
43796,Mo Gard Moelven,10696802,60928527,MOVEGEN,"MOELV, Ringsaker",2390
43797,Tl Helge Årtun,10769425,62266485,TØMMERMOVEIEN,"TYNSET, Tynset",2500
43798,Bu Coop Prix Børstad,11089432,60798525,LARS HOLLOS GATE,"HAMAR, Hamar",2318
43799,Off Ullensaker Kommune,11172605,60143610,Furusethgata,"50., 235.",NULL
43800,Bu Liertoppen Kjøpesenter,10304858,59811446,DRAMMENSVEIEN,"LIERSKOEGN, Buskerud",3420
43801,Arb Windmill Sales AS,12004519,60190740,STRANDVEGEN,"KONGSVINGER, Kongsvinger",2212
43802,Mat Sanngrund servering/overnatting,11580517,60198698,OSLOVEGEN,"SKARNES, Sør-Odal",2100
43803,Bu Aardal Gartneri,10695841,60937686,STORGATA,"MOELV, Ringsaker",2390
43804,Bu Nille Lillehammer,10467086,61113783,STORGATA,"LILLEHAMMER, Lillehammer",2609
43805,Hår Martha Roko Schøyen,11049839,60808862,BEKKESVEVEGEN,"HAMAR, Hamar",2315
43806,"Fri Bingohuset, Kongsvinger",12001680,60185464,DIGERUDVEGEN,"KONGSVINGER, Kongsvinger",2208
43807,"Fri OK-Bingo, Kongsvinger",12002031,60186963,GÅGATA,"KONGSVINGER, Kongsvinger",2211
43808,PLO FURUMOEN PENSJONÆRHEIM,10787716,62273353,TVERVEIEN,"TYNSET, Tynset",2500
43809,Mat La Luna restaurant,11680032,60251816,ØDEGÅRDSVEGEN,"SKARNES, SØR-ODAL",2100
43810,Fys Else Gran,11678942,60249155,ØGARDSVEGEN,"SKARNES, Sør-Odal",2100
43811,Rtg Unilab Hamar,11107590,60797330,MIDTSTRANDA,"HAMAR, HAMAR",2321
43812,Bil Biltema Hamar,11067253,60829932,KÅRTORPVEGEN,"FURNES, Ringsaker",2320
43813,Hår Tretten frisørsalong AS,10303541,61311344,KONGSVEGEN,"TRETTEN, Øyer",2635
43814,Bu Skarstad Gartneri,12031864,60232192,ØSTRE SOLØRVEG,"KONGSVINGER, Kongsvinger",2211
43815,Ba Sparebanken Hedmark avd Nes,10942029,60761889,Postboks 23,"NES PÅ HEDMARK, Rings...",2350
43816,Krk Kongsvinger Bedehus,11999163,60192281,TOMMELSTADS GATE,"KONGSVINGER, Kongsvinger",2212
43817,Hvam Tettsted,11339919,60128115,Hvam Tettsted,NULL,2165
43818,Midtbyen Park,11071892,60795900,GRØNNEGATA,"HAMAR, Hamar",2317
