StopId,StopAbbr,StopName,Lat,Lon
144,SØND_GT1,Søndre gate,61110645,10471209
145,BELLEVU1,Bellevue,61107190,10476834
146,SKAUGBO1,Skaugboringen,61104679,10482488
147,ROAVEG1,Roavegen,61101667,10484667
148,SKOGLLH1,Skogli Frederik Colletts veg,61099939,10485044
149,KNEIKEN1,Kneiken,61097766,10484634
150,HAGEHAU1,Hagehaugvegen,61097673,10474654
151,SØREÅLS1,Søre Ål skole Skogenhallen,61094071,10474953
153,SUTTEST1,Suttestad,61105421,10469370
154,WEIDEMA1,Weidemanns gate,61107494,10467538
155,BJØRN_BJ,Bjørnstjerne Bjørnsons gate,61109869,10464922
156,MATHIES1,Mathiesens gate,61110880,10465313
157,BAKKALY1,Bakkalykkja,61102363,10486665
158,TVEITA,Tveita,61102660,10491576
159,HØSTM_V1,Høstmælingsvegen,61102500,10499104
160,ASKJELLR,Askjellrud,61099571,10513113
161,LINNEAV1,Linneavegen,61099711,10517516
162,BLÅKLOK1,Blåklokkevegen,61101734,10513075
163,TIRILTU1,Tiriltunga,61103587,10507033
164,SYK_L_M1,Sykehuset Innlandet Mejdells gt,61113856,10472435
165,FURUBAKK,Furubakken,61114674,10480283
166,RÅDYRSTI,Rådyrstien,61115526,10485252
167,NYBU,Nybu,61117706,10486498
168,ÅVEITBAK,Åveitbakken,61117725,10482314
169,EKORNVEG,Ekornvegen,61116949,10480781
170,MARTINSE,Martin Seipsveg,61115573,10478008
171,MAIHAUG1,Maihaugen,61113848,10477450
172,MÅSÅHAU1,Måsåhaugen,61104218,10489459
173,RØYSL_M1,Røyslimoen Messenlivegen,61100150,10508470
174,RØYS_KL1,Røyslimoen skole Klebervegen,61095288,10505663
175,GAM_RØY1,Gamle Røyslivegen,61093377,10509132
177,SPEIDER1,Speiderhuset,61119258,10473825
178,NØKLEBLO,Nøkleblommen,61103982,10508705
179,SYK_LILL,Sykehuset Innlandet Lillehammer,61113234,10472602
180,LIL_V_S1,Lillehammer vgs Sør,61112770,10470840
181,JEAN_HE1,Jean Heibergs veg,61095443,10481236
182,SÆTEREN1,Sæterengen,61092208,10477744
183,RAMBE_GV,Rambekk Gimlevegen,60776720,10692402
184,BONDELI1,Bondelia,60773061,10707137
185,KIRKEBY1,Kirkeby,60784763,10690553
186,GJØ_RÅDH,Gjøvik rådhus,60794983,10693370
187,GJØ_GÅR1,Gjøvik gård,60793496,10694468
188,KASPERG1,Kaspergården,60786127,10694601
189,FAHLSTR1,Fahlstrøms plass,60796284,10689180
190,HUNNSVN1,Hunnsvegen Brannstasjonen,60797966,10683972
191,GJØ_STA1,Gjøvik stadion,60798840,10680678
192,HOVDETJ1,Hovdetjernet,60799110,10677430
193,PARKSVI1,Parksvingen Øverbyvegen,60803084,10665462
194,FRED_GJ1,Fredheim,60801068,10663687
195,VARD_AH1,Vardal aldersheim,60798713,10658863
196,PLASSVI1,Plassvingen,60797714,10655824
197,KIRKEBV1,Kirkebyvegen,60783420,10691690
198,KIRK_SK1,Kirkebyskogen,60778078,10684982
199,KALKV_K1,Kalkvegen/Korallvegen,60775620,10675530
200,MARC_TH1,Marcus Thranes gt/Ibsens gt,60798194,10685660
201,SYK_GJØ1,Sykehuset Innlandet Sverdrup...,60802080,10680717
202,SANDLI1,Sandli,60776326,10678557
203,FREDENG1,Fredeng,60766610,10681280
204,ALFARVN1,Alfarvegen,60783686,10683676
205,FRUSE_E2,Frusethenga,60769276,10690399
206,VIND_SK1,Vindingstad skole,60774052,10696722
207,HOLMBO1,Holmbo,60772488,10679206
208,KOPPERU1,Kopperud,60777590,10672140
209,SYK_GJØ3,Sykehuset Innlandet Skattums gt,60802838,10678882
210,GRENSEN1,Grensen,60808151,10682132
211,ENERGIH1,Energihuset Kallerud,60785047,10679166
216,FALS_PL1,Falsens plass,60801221,10684788
218,BJØRNSVE,Bjørnsveen,60813594,10672684
219,JEMTLAN1,Jemtland,60811611,10631438
220,EIKTUNE1,Eiktunet,60803663,10648899
222,KRÅKJOR1,Kråkjordet,60801338,10672465
223,ØVERBY1,Øverby,60805010,10652890
224,JUGERSP2,Jugerspissen,60804210,10683640
225,NETT_RA1,Nettum rampe,60935803,10245728
226,KARMELG1,Karmel,60771193,10674139
227,BREDLI1,Bredli,60781412,10678493
228,BJØRKEB1,Bjørkebakken,60780094,10668230
229,BIRI_SE1,Biri senter,60956390,10623560
230,MUST_FA1,Mustad fabrikker,60790048,10672350
231,VARD_US1,Vardal ungdomsskole,60787572,10648531
232,HUNNDAL1,Hunndalen,60787086,10644310
233,ALMSFEL1,Almsfeltet,60777295,10638153
234,DJUP_BK1,Djupdalsbakken,60765420,10630860
235,BREISK_S,Breiskallen sørgående,60753518,10624256
236,BORG_GJ1,Borgen,60790939,10399340
237,MUSTADH1,Mustadhaugen,60806519,10471124
238,LUNDG_G1,Lundgård,60804610,10519540
239,TOBRU1,Tobru Odnesvegen,60800981,10542206
240,FOSS_OV1,Foss Odnesvegen,60800379,10551998
241,BYBRUA1,Bybrua,60800036,10563868
242,ELVSVEV1,Elvsvevegen,60802177,10572038
243,NYSET1,Nyset,60800484,10591608
244,SKARPSN1,Skarpsno,60796953,10606580
245,FATHØGD1,Fathøgda,60792234,10629050
246,NTNU_G1,NTNU i Gjøvik,60788706,10682014
247,SKUMSJØ1,Skumsjøen,60748327,10546469
249,BJUGSTK1,Bjugstadkrysset,60767978,10602797
250,LINNERU1,Linnerud,60768829,10421245
251,GILLERH1,Gillerhaugen,60766989,10463237
252,SKONHOV1,Skonhovd,60770065,10553449
253,TYLIKRY1,Tylikrysset,60784882,10571862
254,SEVAL1,Seval,60804331,10387667
255,HORNÅS1,Hornås,60808290,10439330
256,MUSTADN1,Mustad nord,60808395,10470866
258,VARD_KI1,Vardal kirke,60815402,10524044
259,GRAND_SK,Grande skole,60811109,10585924
260,FØLLING1,Føllingstad,60814855,10572450
262,ENGELST1,Engelstad,60802655,10581562
263,SKAN_SK1,Skansen skole,60757774,10579707
264,SEDALGJ1,Sedal,60808280,10398660
265,EGSTAD1,Egstad,60752470,10592440
266,SKULHUSO,Skulhusodden,60917856,10662970
268,DULLERU1,Dullerud,60891529,10576561
269,NERÅSVN1,Neråsvegen,60838297,10605778
270,UDAL1,Udal,60954580,10551900
271,SKÅRSTA1,Skårstad,60866615,10673703
274,KLOMSTE1,Klomsteinroa,60941747,10544148
275,FURULUN1,Furulund Snertingdalsvegen,60879521,10400985
276,ÅSROVN1,Åsrovegen,61005399,10481498
278,SKRIN_S1,Skrinnhagen skole,60963240,10605220
279,BIRI_SN,Biri sentrum nordgående,60956598,10609231
280,SANDER1,Sander,60933174,10650751
281,SMEDMOE1,Smedmoen,60911457,10661806
282,STOK_BR1,Stokke bru,60886789,10670769
283,DALSJOV1,Dalsjordetvegen,60867032,10696929
284,BRÅ_B_T1,Bråstadbrua Trondhjemsvegen,60825100,10668970
285,KJERRIN1,Kjerringelv,60940520,10187833
286,LINDHEI1,Lindheim,60932874,10241984
287,FORBRUK1,Forbrukslaget,60900866,10331286
288,GRØTE_S1,Grøterud Snertingdalsvegen,60890647,10346053
289,SNERTKO1,Snertingdal kommunehus,60881236,10384235
290,SEIERST1,Seierstad,60880294,10427119
291,DROGS_V2,Drogsetvegen,60878058,10511141
292,ØISTAD1,Øistad,60886203,10602771
293,ROLIKRY2,Rolikrysset,60885867,10640102
294,REDAL_SK,Redalen skole,60887674,10655282
295,REDALEN,Redalen,60888199,10668797
296,SKYBERG1,Skyberg,60829555,10406711
297,NORDEGJ1,Nordenga,60835606,10501815
298,VANG_GJ,Vang,60839695,10664255
299,HELLIRO1,Helliroa,60866970,10620270
300,LUNDS_S1,Lundstein skole,60843464,10661885
301,TRANALI2,Tranalia,60879749,10246687
302,BRUF_GJ2,Bruflat,60892378,10265489
303,DALH_SK1,Dalheim skole,60890873,10361755
304,TØMMER_2,Tømmeråsfeltet,60895637,10421704
305,SKOGH5SN,Skogheim Snertingdal,60884403,10485693
306,FLADSRU1,Fladsrud,60893017,10590239
307,RAMSRUD1,Ramsrudsvingen,60944442,10611368
308,KLUNDBY1,Klundby,60928170,10628050
309,KLUN_VN1,Klundbyvegen/Hanssveavegen,60915816,10634946
310,TORPEN1,Torpen,60936204,10525682
311,STUMLIA1,Stumlia,60982473,10382161
312,BÅBERG1,Båberg,60970577,10551448
314,BIRI_K1,Biri kirke,60958208,10592262
315,EKERHAU1,Ekerhaugen,60973523,10453894
317,LILL_BV1,Lillebergsvegen,60980586,10575239
318,TOFTEMO1,Toftemo E6,61998366,9224327
319,DOVRE1,Dovre,61987020,9249297
320,ISMOLYK1,Ismolykkja,61948084,9295246
321,DOV_S_E1,Dovreskogen,61921470,9334400
322,BRUSLET1,Brusletten,61918035,9354430
323,ROSTBAK1,Rostbakken,61896597,9391979
324,RINDA_DO,Rindal,61934957,9324038
325,STUGU_N1,Nordre Stuguflotten,61902763,9371188
326,BLESTRU1,Blestrudgrenda,62064310,9082170
327,DOMFOSS1,Domfoss,62059933,9106220
328,DOMB_SST,Dombås skyssterminal,62073261,9125406
329,ULEKLEI1,Ulekleiv E6,62041256,9150585
330,LINDSØE1,Lindsøe,62010310,9230010
331,KILLI_Ø1,Killi Øverbygdsvegen,62021690,9213209
332,STUG_LE1,Stuguflåten,62278610,8152310
333,BJORLI1,Bjorli,62258563,8205040
334,LESJASK1,Lesjaskog,62232792,8355091
335,LESJAVE1,Lesjaverk,62193382,8534937
337,LESJA1,Lesja sentrum,62118222,8863334
339,JORAMO1,Joramo,62088415,9095248
340,VEST_LE1,Vestsida Bøkrysset,62100810,8941270
341,BRUS_LE1,Brustugu,62084863,9029371
342,HÅDISLE1,Hådisletta,62105097,8990376
343,BISMO1,Bismo,61884590,8266697
344,HOLEM_V1,Holemorkvegen,61882163,8328899
345,LOMSJ_Y1,Lom og Skjåk ysteri,61862980,8481277
346,MARLO1,Marlo,61883252,8386135
347,LUND_L1,Lund Lundagrendi,61873657,8282540
349,DØNFO_C1,Dønfoss camping,61917043,8093513
350,BOKK_BR2,Bokkodden bru,61898558,8208201
351,LOM,Lom,61837273,8567311
352,ØVERGRE1,Øvergrendsvegen Blakar,61843480,8591590
353,JOTUN_F1,Jotunheimen fjellstue,61660297,8147111
354,LIASAND1,Liasanden,61684920,8241450
355,ELVESÆT1,Elvesæter,61703570,8286796
356,LEIRABR1,Leira bru,61712415,8313588
357,GALDESA2,Galdesand,61720893,8348933
358,RØYSHEI1,Røysheim,61750066,8385231
359,KVANDAL1,Kvandalsvoll,61721977,8242113
360,BRUSTUE1,Brustuen,61725167,8301608
362,VÅGÅSAR1,Vågåsarøygarden,61811572,8490453
363,JUVASSH1,Juvasshytta,61673760,8369140
364,SOGN_FH1,Sognefjellshytta,61565210,7997869
365,RAUDB_S1,Raudbergstulen,61718869,8391709
367,SPITERS1,Spiterstulen,61625360,8403650
368,KJÆSTAD1,Kjæstad,61853760,8660750
369,GRAFFER1,Graffer,61851379,8702991
370,GARMO2,Garmo,61848637,8804068
371,BYRE_LO1,Byre,61846518,8853117
372,TEIGENF1,Teigen Flatmogrenda,61875524,8706477
373,NYRNES1,Nyrnes,61854938,8863745
374,SAGODDE1,Sagodden,61863477,8804535
375,TESSAND2,Tessand,61848435,8964835
376,RAND_VG1,Randen,61850090,9009749
377,VÅGÅMO_R,Vågåmo rutebilstasjon,61877641,9099941
378,RAND_SA1,Randsverk sag,61722730,9060891
379,RANDSVE1,Randsverk,61726838,9066570
380,LEM_FJ_2,Lemonsjø fjellstue,61759474,9075612
381,FLUGUHA1,Fluguhaugen,61827445,8965424
382,MIDTLI1,Midtli,61860600,8976910
383,KVEOMSV1,Kveomsvegen,61866035,9110028
384,GREV1,Grev,61857869,8948066
385,SYNSTLI1,Synstlii,61823734,8990733
386,STORVIK3,Storviksroa,61843028,8884240
387,GJENDES1,Gjendesheim,61494631,8812119
388,HINDSET1,Hindseter,61617149,8961787
389,BESSHEI1,Bessheim,61514518,8854047
390,SKOGB_S1,Skogbygda skule,61914586,8987156
391,SVEAHO_1,Sveaholen,61879574,9118343
393,LALM1,Lalm,61816654,9275398
394,GRANERU1,Granerud,61837385,9242056
395,EIDEF_B1,Eidefossen Baksidevegen,61803799,9301744
396,NERLIRA1,Nerlirampa,61797949,9331538
397,HANSLIN1,Hanslin,61795536,9354304
398,SKÅR1,Skår,61820580,9259320
399,TØFTEBU1,Tøftebua,61571918,9615393
400,MASSING1,Massing,61582711,9539964
401,GROSBER1,Grosberg,61567986,9529018
402,NERSÆTV1,Nersætervegen,61563214,9461448
404,NEBBEN1,Nebben,61509016,9402074
405,SKÅBU1,Skåbu,61524207,9405909
406,SKÅBUBA1,Skåbubaklia,61519650,9450080
407,VARPESTU,Varpestugu,61571290,9518380
408,ÅSEN_NF1,Åsen,61577469,9524468
409,ROGNLI1,Rognli,61564410,9590480
410,LYNG_NF3,Lyngstad,61580194,9668609
411,HARILDS1,Harildstad,61575417,9580406
414,BRYNSBA1,Brynsbakken,61585522,9718662
415,RUST_BH1,Ruste barnehage,61582312,9728948
417,SKOGVN1,Skogvegen,61579232,9685788
418,BRATT_F1,Brattliflata,61571059,9702341
419,KRAFTSTA,Kraftstasjonskrysset,61572652,9804667
420,VINST_S1,Vinstra skysstasjon,61595409,9747447
422,TJYRUVA1,Tjyruvadet,61606045,9802938
423,HÅGÅ_NF1,Hågå,61594540,9794670
